Influent NH4+-N,Influent TN,Influent Flowrate,DO of Zone 5,TN of Zone 5,COD of Zone 6,TN of Zone 6,DO of Zone 7,COD of Zone 7,TN of Zone 7,Energy Consumption,External Carbon Source,Effluent TN
18.44963008,20.28431186,43844.25185,7.098885043,34.18645784,45.14773071,7.366862372,6.993278242,24.76151949,4.761470168,16478.48051,3.65,4.52
20.15164822,21.68083957,43835.74176,6.91995493,34.55741051,46.74064513,7.646167913,6.951818825,24.84880247,5.075688903,16391.19753,3.65,4.52
16.30882122,18.28341468,44017.8866,7.534528464,33.56077236,43.45191067,6.719947143,7.063922764,25.15910574,4.224971549,16593.813,3.651215447,3.638447181
24.61331251,27.49042935,45454.93886,7.920208694,33.63190217,48.78668749,7.940626082,6.890638043,25.0941712,6.485313041,16456.69946,3.180484513,5.017589395
24.89480924,26.5595534,44478.43198,7.261449279,33.47166518,48.23698609,7.345601889,6.873352558,26.26301391,5.86595534,16240,3.65,4.68
24.86112341,27.42045415,44756.06454,7.558038244,32.99952195,45.9220078,7.131782488,6.877990439,25.66148195,6.213732293,16307.91873,3.558109951,4.195335514
15.3,17.82549164,43942.93857,7.395775007,33.46577501,42.15816945,6.965604421,7.069619722,24.56957778,4.254914707,16626.31,3.667492774,3.342436384
12.62112625,17.13051569,45077.59762,8.276228818,32.20312981,52.11314766,10.49522703,7.030234736,27.27261413,8.848717264,16319.68702,4.11,4.39
17.91963395,22.04113657,45295.41188,6.55686804,33.47321132,43.92114425,9.29890311,6.999546909,24.20302061,5.971999232,16266.56598,3.955508767,4.517889416
21.31403443,23.57910656,51162.37413,10.17698557,19.36884753,31,9.902988678,4.111711804,15.93322786,7.747199008,13991.30262,2.806268032,4.314317047
21.94960061,23.65039939,51097.80281,10.19259985,19.0610023,31.91630376,9.95369297,4.157480031,15.3,7.665061827,13944.88018,2.653979647,4.499121351
19.09298565,22.56953893,43449.27744,9.934689344,23.33981353,31,12.97880472,3.936720082,18.82732173,10.15670041,14408.59057,3.10913832,4.973901231
30.67087687,34.6081355,40160.65199,8.473789185,14.2481798,51.82611596,7.969465016,0.105910098,40.37087687,5.589379544,17868.62932,3.888372899,4.86597342
30.2291619,33.5,49412.01141,8.00742095,14.97801904,44.2841143,9.261348563,0.13,38.85190477,6.329085711,18492.98095,3.834700955,4.466398093
31.33876789,35.56822884,34183.0274,9.0748911,14.28992299,56.96052814,7.752400436,0.085038503,41.03876789,5.259608355,18014.73048,3.696354232,5.416983508
19.72260497,23.01375955,66125.22089,13.01681823,13.1039313,38.18783876,10.69312023,0.08,31.51670802,6.812223762,21650,2.967211356,4.315245706
15.47760072,17.69866028,67056.4965,11.50128285,14.05698773,33.22571805,11.17383538,0.108270578,26.40753068,6.48840455,21056.31787,2.479910685,4.437007004
20.02468759,23.19763593,65994.53732,13.04111618,13.15646741,38.6934988,10.60118204,0.08,31.73998648,6.908758861,21650,2.996762917,4.318529213
20.07872111,22.86297689,64858.21243,11.34276374,12.79553107,34.63509757,9.301935335,0.028765896,27.43616332,6.40004119,20849.46713,2.607212069,4.442468208
22.06825628,24.46825628,65258.59529,12.95257098,13.47440389,42.20476884,9.857515013,0.084266018,32.73073807,7.446147613,21551.8816,3.151605842,4.447503643
23.99527529,26.94951842,65705.328,10.97748503,15.71697254,45.6580047,9.423587139,0.107712157,36.4700345,7.135402511,22010.25804,3.699903685,5.038346351
12.15429381,15.36288142,67315.90037,10.40997226,11.59556749,32.6005548,6.288864427,0.13,26.60443251,4.980803282,21170.91424,1.915151982,5.846842352
12.92099496,14.38519396,66442.62659,9.71389399,12.96754516,26.38711875,5.558519396,0.13,24.60811371,5.422505182,20500,2.684421086,4.525273912
14.07895405,15.77474486,66240.81087,9.124989084,12.43819244,25.36149784,5.697474486,0.13,24.74045189,5.544917999,20500,1.777904546,4.611293729
24.24156626,29.22829093,45047.41031,2.611947791,27.04925628,56.23920868,9.971625019,1.618697753,28.2,9.040707273,19176.52536,3.655,5.325
21.91430767,26.78569233,45321.41386,2.651846218,26.76230725,54.43861481,10.17996926,1.320122942,28.25723067,8.898446292,19558.80027,3.676699963,4.483399927
22.89702252,27.83394928,45210.2495,2.656765916,26.73386948,55.01086008,10.10275953,1.401246851,28.2,9.005848732,19488.59231,3.655,5.325
39.11817492,40.95913726,27096.59592,5.036856817,17.07214736,63.7041297,25.9959646,2.925318224,41.805091,25.12130174,13534.02377,14.94644816,4.449724516
39.2797405,41.30213595,26994.30902,5.148120903,17.13258518,63.244987,25.96712664,2.845914076,41.73127552,25.07667338,13544.89526,14.95020221,4.445635385
38.95923406,41.02317964,27246.77459,5.137849322,17.1933206,63.7943131,25.99406345,2.886594766,41.4802451,25.00399992,13320.64801,14.95944243,4.45848017
20.47721847,21.62412309,47591.90644,10.23834708,19.69170463,35.31033847,10.91039017,4.414071383,16.63656615,7.972534164,13959.17046,2.28,5.205
