Influent NH4+-N,Influent TN,Influent Flowrate,DO of Zone 5,TN of Zone 5,COD of Zone 6,TN of Zone 6,DO of Zone 7,COD of Zone 7,TN of Zone 7,Effluent TN,Energy Consumption,External Carbon Source
15.33,17.73,43864.12,7.43,33.49,42.26,6.86,7.07,24.59,4.2,3.33,16640.47,3.65
15.3,20.87,45955.61,6.57,32.64,41.14,9.77,7.06,23.83,6.07,3.89,16294.09,4.09
19.59,20.18,44532.19,7.88,33.76,47.53,6.3,7.04,26.98,4.37,4.68,16443.36,3.66
16.99,19.53,44105.41,7.66,33.13,45.56,7.57,7.02,24.26,5.08,4.19,16668.21,3.52
19.49,23.72,45549.48,6.95,32.6,43.7,8.72,6.98,25.04,6.09,3.8,16264.03,3.93
22.2,24.92,44745.96,8.11,32.28,52.8,8.92,6.89,24.1,7.1,5.85,16640.27,3.28
24.04,23.56,45089.03,8.15,33.72,51.52,6.01,6.99,28.74,4.84,5.48,16255.99,3.66
24.21,26.52,44781.66,7.82,32.46,49.9,7.82,6.88,25.66,6.48,4.62,16417.14,3.49
19.32,23.14,45163.27,7.67,32.33,49.8,9.57,6.95,23.53,6.97,5.58,16587.98,3.49
16.38,21.58,45804.87,6.84,32.53,43.44,9.8,7.03,23.73,6.37,4.36,16362.85,3.94
15.28,20.98,46035.35,6.54,32.6,41.16,9.89,7.06,23.82,6.17,3.92,16280.23,4.11
19.32,23.15,45162.12,7.68,32.33,49.82,9.57,6.95,23.53,6.97,5.58,16588.38,3.49
19.78,22.23,53663.94,9.67,21.12,28.3,9.59,4.67,16.05,8.3,4.96,14244.92,2.05
21.11,23.15,53013.62,10.28,18.26,31.51,8.97,4.24,15.81,6.96,4.22,13866.98,2.67
19.32,21.79,53159.64,10.37,18.15,31.31,7.75,4.38,15.61,5.96,4.87,13714.22,2.56
17.65,19.92,53832.63,10.53,17.06,34.07,7.7,4.7,18.37,5.63,4.45,13701.67,2.33
29.51,33.39,47008.56,7.73,14.2,46.29,8.17,0.23,39.93,5.94,4.25,17667.64,4.1
30.76,33.5,53174.44,8.37,16.22,41.7,10.93,0.13,37.66,6.9,4.84,19761.49,3.39
29.99,33.66,47221.31,7.79,14.2,46.1,8.23,0.15,39.4,6.01,4.23,17708.71,4.16
28.36,30.71,50049.42,8,14.32,52.55,7.06,0.13,38.89,5.6,4.47,18531.66,3.92
17.92,21.31,67768.05,13.31,12.83,37.36,10.13,0.08,30.25,5.86,4.44,21661.23,2.84
15.14,18.95,67221.16,11.78,12.18,33.65,9.2,0.1,28.45,5.59,4.99,21454.66,2.34
14.82,18.58,67234.02,11.63,12.11,33.56,8.89,0.1,28.26,5.53,5.09,21427.1,2.28
17.79,21.38,67612.29,13.19,12.8,36.61,10.44,0.08,30.14,5.91,4.41,21658.49,2.82
