Influent pH,Influent NH4+-N,Influent TN,Influent Flowrate,Wastewater Temperature,DO of Zone 5,TN of Zone 5,COD of Zone 6,TN of Zone 6,DO of Zone 7,COD of Zone 7,TN of Zone 7,Effluent COD,Effluent TN,Energy Consumption,External Carbon Source
7.52,15.33,17.73,43864.12,25.30,7.43,33.49,42.26,6.86,7.07,24.59,4.20,22.39,3.33,16640.47,3.65
7.42,15.30,20.87,45955.61,24.15,6.57,32.64,41.14,9.77,7.06,23.83,6.07,17.50,3.89,16294.09,4.09
7.52,19.59,20.18,44532.19,25.87,7.88,33.76,47.53,6.30,7.04,26.98,4.37,20.95,4.68,16443.36,3.66
7.50,16.99,19.53,44105.41,25.05,7.66,33.13,45.56,7.57,7.02,24.26,5.08,21.84,4.19,16668.21,3.52
7.45,19.49,23.72,45549.48,24.62,6.95,32.60,43.70,8.72,6.98,25.04,6.09,18.06,3.80,16264.03,3.93
7.45,22.20,24.92,44745.96,24.60,8.11,32.28,52.80,8.92,6.89,24.10,7.10,20.16,5.85,16640.27,3.28
7.51,24.04,23.56,45089.03,26.20,8.15,33.72,51.52,6.01,6.99,28.74,4.84,19.52,5.48,16255.99,3.66
7.47,24.21,26.52,44781.66,25.05,7.82,32.46,49.90,7.82,6.88,25.66,6.48,19.63,4.62,16417.14,3.49
7.43,19.32,23.14,45163.27,24.30,7.67,32.33,49.80,9.57,6.95,23.53,6.97,19.38,5.58,16587.98,3.49
7.42,16.38,21.58,45804.87,24.15,6.84,32.53,43.44,9.80,7.03,23.73,6.37,17.86,4.36,16362.85,3.94
7.42,15.28,20.98,46035.35,24.10,6.54,32.60,41.16,9.89,7.06,23.82,6.17,17.30,3.92,16280.23,4.11
7.43,19.32,23.15,45162.12,24.30,7.68,32.33,49.82,9.57,6.95,23.53,6.97,19.38,5.58,16588.38,3.49
7.35,19.78,22.23,53663.94,19.40,9.67,21.12,28.30,9.59,4.67,16.05,8.30,18.94,4.96,14244.92,2.05
7.50,21.11,23.15,53013.62,19.63,10.28,18.26,31.51,8.97,4.24,15.81,6.96,19.16,4.22,13866.98,2.67
7.54,19.32,21.79,53159.64,19.68,10.37,18.15,31.31,7.75,4.38,15.61,5.96,20.16,4.87,13714.22,2.56
